cartodb_id,melbourne,postcode,id,fluoride_level,water_company,townsuburb,lat,lon
236,FALSE,3227,236,Fluoridated,Barwon Water,CONNEWARRE,-38.2640693,144.4623088
1,TRUE,3067,1,Fluoridated,City West Water,ABBOTSFORD,-37.803,145.002
2,TRUE,3040,2,Fluoridated,City West Water,ABERFELDIE,-37.762,144.901
3,FALSE,3352,3,Not fluoridated,Central Highlands Water,ADDINGTON,-37.383333,143.683333
4,FALSE,3465,4,Fluoridated,Central Highlands Water,ADELAIDE LEAD,-37.0838207,143.679125
5,FALSE,3962,5,Not fluoridated,South Gippsland Water,AGNES,-38.6577757,146.3819528
6,FALSE,3231,6,Fluoridated,Barwon Water,AIREYS INLET,-38.4507109,144.1089345
7,TRUE,3042,7,Fluoridated,City West Water,AIRPORT WEST,-37.724,144.879
8,TRUE,3021,8,Fluoridated,City West Water,ALBANVALE,-37.746,144.765
9,TRUE,3206,9,Fluoridated,South East Water,ALBERT PARK,-37.842,144.95
10,FALSE,3971,10,Not fluoridated,South Gippsland Water,ALBERTON,-38.616667,146.666667
11,TRUE,3020,11,Fluoridated,City West Water,ALBION,-37.781,144.8145
12,FALSE,3714,12,Not fluoridated,Goulburn Valley Water,ALEXANDRA,-37.1943946,145.7080742
13,FALSE,3350,13,Fluoridated,Central Highlands Water,ALFREDTON,-37.555,143.8
14,FALSE,3277,14,Fluoridated,Wannon Water,ALLANSFORD,-38.386111,142.593056
15,FALSE,3364,15,Not fluoridated,Central Highlands Water,ALLENDALE,-37.366667,143.933333
16,FALSE,3465,16,Fluoridated,Central Highlands Water,ALMA,-37.027222,143.677778
17,TRUE,3078,17,Fluoridated,Yarra Valley Water,ALPHINGTON,-37.78,145.023
18,TRUE,3018,18,Fluoridated,City West Water,ALTONA,-37.868,144.83
19,TRUE,3028,19,Fluoridated,City West Water,ALTONA MEADOWS,-37.875,144.782
20,TRUE,3025,20,Fluoridated,City West Water,ALTONA NORTH,-37.841,144.849
21,FALSE,3249,21,Fluoridated,Barwon Water,ALVIE,-38.244444,143.515556
22,FALSE,3468,22,Not fluoridated,Central Highlands Water,AMPHITHEATRE,-37.1878175,143.4682535
23,FALSE,3221,23,Fluoridated,Barwon Water,ANAKIE,-37.916667,144.25
24,FALSE,3995,24,Fluoridated,Westernport Water,ANDERSON,-38.5227147,145.4526995
25,FALSE,3230,25,Fluoridated,Barwon Water,ANGLESEA,-38.4096639,144.1825171
26,FALSE,3233,26,Not fluoridated,Barwon Water,APOLLO BAY,-38.75,143.65
27,FALSE,3377,27,Fluoridated,GWMWater,ARARAT,-37.2846464,142.9316441
28,FALSE,3995,28,Fluoridated,Westernport Water,ARCHIES CREEK,-38.548056,145.563611
29,TRUE,3022,29,Fluoridated,City West Water,ARDEER,-37.7776716,144.7988921
30,TRUE,3143,30,Fluoridated,South East Water,ARMADALE,-37.856,145.022
31,TRUE,3143,31,Fluoridated,Yarra Valley Water,ARMADALE,-37.858,145.02
32,TRUE,3099,32,Fluoridated,Yarra Valley Water,ARTHURS CREEK,-37.583333,145.2
33,TRUE,3032,33,Fluoridated,City West Water,ASCOT VALE,-37.779,144.919
34,TRUE,3147,34,Fluoridated,Yarra Valley Water,ASHBURTON,-37.866944,145.083056
35,TRUE,3147,35,Fluoridated,Yarra Valley Water,ASHWOOD,-37.867,145.103
36,TRUE,3195,36,Fluoridated,South East Water,ASPENDALE,-38.025,145.104
37,TRUE,3195,37,Fluoridated,South East Water,ASPENDALE GARDENS,-38.022778,145.118889
38,TRUE,3049,38,Fluoridated,Yarra Valley Water,ATTWOOD,-37.666,144.887
39,FALSE,3212,39,Fluoridated,Barwon Water,AVALON,-38.0568548,144.4225874
40,FALSE,3664,40,Fluoridated,Goulburn Valley Water,AVENEL,-36.9,145.233333
41,FALSE,3467,41,Not fluoridated,Central Highlands Water,AVOCA,-37.088056,143.473889
42,TRUE,3034,42,Fluoridated,City West Water,AVONDALE HEIGHTS,-37.762,144.863
43,TRUE,3782,43,Not fluoridated,Yarra Valley Water,AVONSLEIGH,-37.925,145.481944
44,FALSE,3551,44,Fluoridated,Coliban Water,AXEDALE,-36.7768707,144.5040073
45,FALSE,3340,45,Fluoridated,Western Water,BACCHUS MARSH,-37.6763789,144.4463206
46,TRUE,3777,46,Not fluoridated,Yarra Valley Water,BADGER CREEK,-37.685,145.538
47,FALSE,3875,47,Fluoridated,East Gippsland Water,BAIRNSDALE,-37.833333,147.616667
48,TRUE,3183,48,Fluoridated,South East Water,BALACLAVA,-37.873,144.993
49,FALSE,3342,49,Fluoridated,Central Highlands Water,BALLAN,-37.6146129,144.2415697
50,FALSE,3350,50,Fluoridated,Central Highlands Water,BALLARAT,-37.5621587,143.8502556
51,FALSE,3350,51,Fluoridated,Central Highlands Water,BALLARAT NORTH,-37.5397,143.8676
52,FALSE,3350,52,Fluoridated,Central Highlands Water,BALLARAT SOUTH,-37.570139,143.847761
53,FALSE,3407,53,Not fluoridated,Wannon Water,BALMORAL,-37.2516966,141.8235525
54,FALSE,3926,54,Fluoridated,South East Water,BALNARRING,-38.371,145.118
55,TRUE,3103,55,Fluoridated,Yarra Valley Water,BALWYN,-37.808889,145.078889
56,TRUE,3104,56,Fluoridated,Yarra Valley Water,BALWYN NORTH,-37.793611,145.086389
57,FALSE,3241,57,Fluoridated,Barwon Water,BAMBRA,-38.3667365,143.9448801
58,FALSE,3333,58,Fluoridated,Barwon Water,BAMGANIE,-37.914215,143.9872451
59,FALSE,3694,59,Partly fluoridated,North East Water,BANDIANA MILPO,-37.4713077,144.7851531
60,TRUE,3175,60,Fluoridated,South East Water,BANGHOLME,-38.049,145.166
61,FALSE,3331,61,Fluoridated,Barwon Water,BANNOCKBURN,-38.05,144.166667
62,TRUE,3084,62,Fluoridated,Yarra Valley Water,BANYULE,-37.7314254,145.082419
