structure_max_elevation,footprint_max_elevation,structure_min_elevation,property_id,footprint_extrusion,footprint_min_elevation,structure_extrusion,roof_type
30.5,30.5,17.5,109953,13.5,17.5,13.0,Flat
32.5,26.5,18.0,105685,9.0,18.0,8.5,Flat
32.5,32.5,18.0,105685,5.5,26.5,14.5,Hip
20.5,19.5,17.0,104550,2.0,17.0,2.5,Flat
24.5,23.5,17.0,104870,6.0,17.0,6.5,Flat
24.5,20.0,17.0,104870,3.0,17.0,3.0,Flat
20.5,19.5,17.5,104872,2.5,17.5,2.0,Flat
20.5,19.5,17.5,104873,2.5,17.5,2.0,Flat
23.5,20.5,17.5,100318,3.0,17.5,3.0,Flat
23.5,23.5,17.5,100322,5.5,17.5,6.0,Flat
23.5,20.5,17.0,104869,3.5,17.5,3.5,Hip
23.5,23.5,17.0,104869,6.0,17.5,6.5,Hip
23.0,23.0,17.5,100317,5.5,17.5,5.5,Hip
26.0,26.0,17.5,100325,8.0,18.0,8.5,Hip
23.5,23.5,17.5,100320,5.5,17.5,6.0,Hip
20.0,20.0,17.0,104546,2.5,17.0,3.0,Flat
26.0,24.5,17.0,104546,7.5,17.0,7.5,Flat
26.0,21.0,17.0,104546,3.5,17.0,4.0,Flat
23.5,23.5,17.0,104547,6.5,17.0,6.5,Flat
20.0,20.0,17.0,100327,2.5,17.0,3.0,Gable
20.0,20.0,17.5,100329,2.0,17.5,2.5,Gable
23.0,20.5,17.5,104544,3.0,17.5,3.0,Flat
22.0,22.0,18.0,100326,4.0,18.0,4.0,Hip
21.0,21.0,17.0,104547,4.0,17.0,4.0,Hip
25.0,20.5,17.0,104542,3.0,17.5,3.5,Hip
25.0,25.0,17.0,104541,7.5,17.0,8.0,Hip
23.0,21.5,17.5,104549,4.0,17.5,4.0,Hip
23.0,23.0,17.5,104549,5.5,17.5,5.5,Hip
21.5,19.5,17.0,100328,2.0,17.0,2.5,Hip
23.5,21.5,17.5,100315,4.0,17.5,4.0,Flat
