data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Pre May 16,X000568,COMPLETED,2012,West Melbourne (Residential),411,1-13 Abbotsford Street WEST MELBOURNE VIC 3003,100001,,,,,3,10,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9432805,-37.80791988,"-37.80791988, 144.9432805"
Pre May 16,X000557,COMPLETED,2002,West Melbourne (Residential),401,7-21 Anderson Street WEST MELBOURNE VIC 3003,100435,,,,,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9415469,-37.80477682,"-37.80477682, 144.9415469"
Pre May 16,X000448,COMPLETED,2015,North Melbourne,314,302-308 Arden Street NORTH MELBOURNE VIC 3051,100509,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,0,0,0,0,0,24,6,0,144.9377236,-37.79925034,"-37.79925034, 144.9377236"
Pre May 16,X000458,COMPLETED,2004,North Melbourne,330,162-168 Arden Street NORTH MELBOURNE VIC 3051,100519,,,,,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9462277,-37.80032041,"-37.80032041, 144.9462277"
Pre May 16,X000996,COMPLETED,2013,North Melbourne,1012,201 Arden Street NORTH MELBOURNE VIC 3051,100552,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9410467,-37.80029861,"-37.80029861, 144.9410467"
Pre May 16,X000955,COMPLETED,2002,Parkville,903,192-198 The Avenue PARKVILLE VIC 3052,100615,,,,,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9578135,-37.78295736,"-37.78295736, 144.9578135"
Pre May 16,X000404,COMPLETED,2013,Carlton,260,97-115 Berkeley Street MELBOURNE VIC 3000,101043,,,,,12,0,0,0,0,0,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9587954,-37.80310281,"-37.80310281, 144.9587954"
Pre May 16,X000532,COMPLETED,2003,North Melbourne,375,4-12 Blackwood Street NORTH MELBOURNE VIC 3051,101096,,,,,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,144.9547459,-37.80191511,"-37.80191511, 144.9547459"
Pre May 16,X000122,COMPLETED,2010,Melbourne (CBD),48,65-71 Bourke Street MELBOURNE VIC 3000,101114,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,144.9714501,-37.81227537,"-37.81227537, 144.9714501"
Pre May 16,X000124,COMPLETED,2006,Melbourne (CBD),51,636-638 Bourke Street MELBOURNE VIC 3000,101169,,,,,5,0,0,0,0,0,0,0,0,0,5,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9547125,-37.81628199,"-37.81628199, 144.9547125"
Pre May 16,X000129,COMPLETED,2015,Melbourne (CBD),52,562-574 Bourke Street MELBOURNE VIC 3000,101173,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14881,560,0,0,0,0,325,0,0,0,341,0,144.9567556,-37.8155088,"-37.8155088, 144.9567556"
Pre May 16,X000135,COMPLETED,2010,Melbourne (CBD),55,314-336 Bourke Street MELBOURNE VIC 3000,101194,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9638271,-37.81344774,"-37.81344774, 144.9638271"
Pre May 16,X000142,COMPLETED,2009,Melbourne (CBD),57,140 East 134-144 Bourke Street MELBOURNE VIC 3000,101213,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6429,314,0,0,0,0,0,0,0,0,0,0,144.9688374,-37.81202281,"-37.81202281, 144.9688374"
Pre May 16,X000411,COMPLETED,2008,Carlton,263,The Bellagio Carlton 63-69 Bouverie Street CARLTON VIC 3053,101242,,,,,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,144.9613774,-37.80495785,"-37.80495785, 144.9613774"
Pre May 16,X000412,COMPLETED,2012,Carlton,263,71-79 Bouverie Street CARLTON VIC 3053,101243,,,,,8,0,0,0,0,0,88,0,88,0,0,0,0,0,0,40,0,0,0,0,0,180,0,0,0,0,0,144.961409,-37.80478096,"-37.80478096, 144.961409"
Pre May 16,X000390,COMPLETED,2003,Carlton,257,117-121 Bouverie Street CARLTON VIC 3053,101245,,,,,4,0,0,0,0,0,39,0,39,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,144.9615731,-37.80376613,"-37.80376613, 144.9615731"
Pre May 16,X000369,COMPLETED,2002,Carlton,245,203-225 Cardigan Street CARLTON VIC 3053,101608,,,,,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9649452,-37.80170813,"-37.80170813, 144.9649452"
Pre May 16,X000439,COMPLETED,2006,Parkville,271,Ormond College 29-55 College Crescent PARKVILLE VIC 3052,102052,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6082,0,0,0,0,0,0,0,0,0,0,0,144.9605351,-37.7930669,"-37.7930669, 144.9605351"
Pre May 16,X000059,COMPLETED,2012,Melbourne (CBD),25,287-301 Collins Street MELBOURNE VIC 3000,102087,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,144.9644915,-37.81642214,"-37.81642214, 144.9644915"
Pre May 16,X000603,COMPLETED,2015,West Melbourne (Residential),439,52-54 Dudley Street WEST MELBOURNE VIC 3003,102972,,,,,5,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144.9534802,-37.80866622,"-37.80866622, 144.9534802"
Pre May 16,X000341,COMPLETED,2008,Carlton,208,230-232 Elgin Street CARLTON VIC 3053,103127,,,,,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9665749,-37.79681346,"-37.79681346, 144.9665749"
Pre May 16,X000511,COMPLETED,2014,North Melbourne,362,587-589 Elizabeth Street MELBOURNE VIC 3000,103244,,,,,10,55,0,28,27,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,144.9581241,-37.80460726,"-37.80460726, 144.9581241"
Pre May 16,X000364,COMPLETED,2013,Carlton,239,786-798 Elizabeth Street MELBOURNE VIC 3000,103257,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,144.9582638,-37.80007242,"-37.80007242, 144.9582638"
